S.No,me,title,male,culture,dateOfBirth,mother,father,heir,house,spouse,book1,book2,book3,book4,book5,isAliveMother,isAliveFather,isAliveHeir,isAliveSpouse,isMarried,isNoble,age,numDeadRelations,boolDeadRelations,isPopular,popularity,isAlive
439,Perra Frey,,0,,294,,,,House Frey,,0,1,1,1,0,,,,,0,0,11,0,0,0,0.100334448,1
440,Robin Greyjoy,,1,Ironborn,,,,,House Greyjoy,,0,0,0,1,0,,,,,0,0,,0,0,0,0.063545151,1
441,Mathis Frey,,0,,294,,,,House Frey,,0,1,1,1,0,,,,,0,0,11,0,0,0,0.08361204,1
442,Kyle Royce,,1,,,,,,House Royce,,0,1,0,0,0,,,,,0,0,,0,0,0,0.02006689,1
443,Alebelly,,1,Northmen,,,,,House Stark,,0,1,0,0,0,,,,,0,0,,0,0,0,0.030100334,0
444,Meredyth Crane,,0,,,,,,House Crane,,0,0,1,1,1,,,,,0,0,,0,0,0,0.030100334,1
445,Malcolm,Ser,0,,,,,,,,0,1,0,0,0,,,,,0,1,,0,0,0,0.006688963,1
446,Clarent Crakehall,Ser,0,,,,,,House Crakehall,,0,0,0,0,0,,,,,0,1,,0,0,0,0.010033445,0
447,Erik Ironmaker,Lord Steward of the Iron Islands,1,Ironborn,211,,,,House Ironmaker,Asha Greyjoy,0,0,0,1,1,,,,1,1,1,94,0,0,0,0.050167224,1
448,Matt,,1,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.003344482,1
449,Daeron I Targaryen,,1,,,Daeera Velaryon,Aegon III Targaryen,Baelor I Targaryen,,,0,0,0,0,0,1,0,0,,0,0,,7,1,1,0.518394649,0
450,Mellos,Grand Maester,1,,,,,,,,0,0,0,0,0,,,,,0,1,,0,0,0,0.237458194,1
451,Harrag Hoare,,1,Ironborn,,,,,,,0,0,0,0,0,,,,,0,0,,0,0,0,0.026755853,1
452,Pyg,,0,,,,,,Brave Companions,,0,0,1,1,0,,,,,0,0,,0,0,0,0.046822742,0
453,Walder Goodbrook,,1,,290,,,,House Goodbrook,,0,1,1,1,0,,,,,0,0,15,0,0,0,0.066889632,1
454,Arrec Durrandon,,1,,,,,Arlan V Durrandon,,,0,0,0,0,0,,,1,,0,0,,0,0,0,0,1
455,Timett,red hand,1,Vale mountain clans,278,,,,Burned Men,,1,1,1,0,1,,,,,0,1,27,0,0,0,0.073578595,1
456,Alerie Hightower,Highgarden,0,,257,,,,House Hightower,Mace Tyrell,1,1,1,1,1,,,,1,1,1,48,0,0,0,0.227424749,1
457,Gormon Tyrell,Maester,1,,,,,,Citadel,,1,1,1,1,1,,,,,0,1,,0,0,0,0.153846154,1
458,Sybelle Glover,Deepwood Motte,0,Northmen,,,,,House Locke,Robett Glover,0,1,1,1,1,,,,1,1,1,,0,0,0,0.070234114,1
459,Ondrew Locke,Lord of Oldcastle,1,Northmen,,,,,House Locke,,0,1,1,1,1,,,,,0,1,,0,0,0,0.036789298,1
460,Larence Snow,,1,Northmen,286,,,,House Hornwood,,0,1,1,1,0,,,,,0,0,19,0,0,0,0.060200669,1
461,Chella,,0,Vale mountain clans,,,,,Black Ears,,1,1,1,0,0,,,,,0,0,,0,0,0,0.036789298,1
462,Lyonel Frey,Ser,0,,259,,,,House Frey of Riverrun,Melesa Crakehall,0,1,1,1,1,,,,1,1,1,46,0,0,0,0.063545151,1
463,Rolland Darklyn,Ser,1,,,,,,House Darklyn,,0,0,0,1,0,,,,,0,1,,0,0,0,0.010033445,1
464,Quentyn Martell,Ser,1,Dornishmen,281,,,,House Martell,,1,1,1,1,1,,,,,0,1,19,0,0,1,0.551839465,0
465,Ragnor Pyke,,0,Ironborn,,,,,House Greyjoy,,0,0,0,1,0,,,,,0,0,,0,0,0,0.010033445,1
466,Errok,,1,Free Folk,,,,,,,0,0,1,1,0,,,,,0,0,,0,0,0,0.006688963,1
467,Alester Norcross,,1,,290,,,,House Norcross,,0,1,1,1,0,,,,,0,0,15,0,0,0,0.080267559,1
468,Maslyn,,0,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0,0,0.013377926,0
469,Alyssa Blackwood,Lady,0,,,,,,House Blackwood,Walder Frey,0,1,1,1,1,,,,1,1,1,,0,0,0,0.096989967,0
470,Bennet,Septon,0,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.006688963,1
471,Tommen Costayne,Three Towers,0,,,,,,House Costayne,,0,0,0,1,0,,,,,0,1,,0,0,0,0.006688963,1
472,Bess Bracken,,0,,,,,,House Bracken,,0,0,0,0,1,,,,,0,0,,0,0,0,0.030100334,1
473,Spotted Pate of Maidenpool,,1,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0,0,0.013377926,0
474,Robert Paege,Ser,0,,,,,,House Paege,,0,0,1,0,0,,,,,0,1,,0,0,0,0.010033445,1
475,Willam Stark,Winterfell,1,Northmen,,,,,House Stark,Melantha Blackwood,0,1,0,0,0,,,,1,1,1,,0,0,0,0.117056856,0
476,Martyn Cassel,,0,Northmen,,,,,House Cassel,,1,1,0,0,0,,,,,0,0,,0,0,0,0.033444816,0
477,Godry Farring,Ser,1,,,,,,House Farring,,0,0,0,1,1,,,,,0,1,,0,0,0,0.063545151,1
478,Hallis Mollen,Winterfell,1,Northmen,,,,,House Mollen,,1,1,1,1,0,,,,,0,1,,0,0,0,0.070234114,1
479,Tymor,,1,,,,,,House Greyjoy,,0,1,0,0,0,,,,,0,0,,0,0,0,0.006688963,1
480,Clarence Charlton,Ser,0,,,,,,House Charlton,,0,0,0,0,0,,,,,0,1,,0,0,0,0.013377926,1
481,Tuffleberry,,0,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.003344482,1
482,Walda Frey (daughter of Merrett),,0,,283,,,,House Frey,Roose Bolton,0,0,0,0,0,,,,1,1,0,22,0,0,0,0,1
483,Eden Risley,Ser,1,,,,,,House Risley,,0,0,0,0,0,,,,,0,1,,0,0,0,0.003344482,1
484,Pudding,,0,,,,,,,,0,0,0,0,0,,,,,0,0,,0,0,0,0.003344482,1
485,Wyl the Whittler,,0,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.006688963,1
486,Margot Lannister,Starpike,0,,,,,,House Lannister,Titus Peake,0,0,1,1,1,,,,1,1,1,,0,0,0,0.02006689,1
487,Fornio,,1,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0,0,0.010033445,1
488,Lymond Lychester,Castle Lychester,1,Rivermen,,,,,House Lychester,,0,0,1,1,0,,,,,0,1,,0,0,0,0.023411371,1
489,Duram Bar Emmon,Sharp Point,0,,284,,,,House Bar Emmon,,0,1,1,1,0,,,,,0,1,21,0,0,0,0.026755853,1
490,Mors Manwoody,,1,,,,,,House Manwoody,,0,0,1,1,0,,,,,0,0,,0,0,0,0.023411371,1
491,Cedra,,0,,,,,,House Martell,,0,0,0,1,0,,,,,0,0,,0,0,0,0.013377926,1
492,Ormund Wylde,Ser,1,,,,,,House Wylde,,0,0,0,0,1,,,,,0,1,,0,0,0,0.013377926,1
493,Old Tattersalt,,1,,,,,,Night's Watch,,0,0,0,1,1,,,,,0,0,,0,0,0,0.013377926,1
494,Varamyr,,1,Free Folk,,,,,,,0,0,1,0,1,,,,,0,0,,0,0,0,0.227424749,0
495,Jeyne Westerling,Winterfell,0,Westermen,283,,,,House Westerling,Robb Stark,0,0,1,1,0,,,,0,1,1,22,0,0,1,0.424749164,1
496,Rosamund Lannister,,0,,,,,,House Lannister of Lannisport,,0,0,0,1,1,,,,,0,0,,0,0,0,0.023411371,1
497,Mord,,1,,,,,,House Arryn,,1,1,1,1,1,,,,,0,0,,0,0,0,0.046822742,1
498,Mirri Maz Duur,Godswife,0,Lhazareen,257,,,,,,1,1,1,1,1,,,,,0,1,42,0,0,0,0.143812709,0
499,Gyles III Gardener,,1,,,,,,,,0,0,0,0,0,,,,,0,0,,0,0,0,0.02006689,1
500,Gallard,Archmaester,0,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.010033445,1
501,Lorent Lorch,Ser,0,,,,,,House Lorch,,0,0,0,1,1,,,,,0,1,,0,0,0,0.010033445,1
502,Sarella Sand,,0,Dornishmen,280,,,,House Martell,,0,0,1,1,1,,,,,0,0,25,1,1,0,0.10367893,1
503,Saathos,,0,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.003344482,1
504,Arwyn Oakheart,Old Oak,1,,,,,,House Oakheart,,1,1,1,1,1,,,,,0,1,,0,0,0,0.036789298,1
505,Ygon Farwynd,,1,,,,,,House Farwynd of the Lonely Light,,0,0,0,1,0,,,,,0,0,,0,0,0,0.010033445,1
506,Bodger,,0,Free Folk,,,,,,,0,0,1,1,0,,,,,0,0,,0,0,0,0.006688963,1
507,Lia Serry,,0,,,,,,House Serry,Theodore Tyrell,0,0,1,1,0,,,,1,1,0,,0,0,0,0.137123746,1
508,Leo Woolfield,,0,,,,,,House Woolfield,Wylis Manderly,0,0,0,1,1,,,,1,1,0,,0,0,0,0.046822742,1
509,Tya Wylde,,0,,,,,,House Wylde,Aenys Frey,0,1,1,1,0,,,,0,1,0,,0,0,0,0.050167224,1
510,Luthor Tyrell (son of Moryn),Ser,0,,,,,,House Tyrell,Elyn Norridge,0,0,1,1,0,,,,1,1,1,,0,0,0,0.130434783,1
511,Lord Staunton,Rook's Rest,1,,,,,,House Staunton,,0,0,0,0,0,,,,,0,1,,0,0,0,0.016722408,0
512,Tywin Lannister,Casterly Rock,1,,242,,,,House Lannister,Joan Lannister,1,1,1,1,1,,,,0,1,1,58,5,1,1,1,0
513,Daenerys Targaryen,Andals,0,Valyrian,284,,,,House Targaryen,Drogo,1,1,1,1,1,,,,0,1,1,21,15,1,1,1,1
514,Leobald Tallhart,Castellan,1,Northmen,,,,,House Tallhart,Bere Hornwood,0,1,1,1,1,,,,1,1,1,,0,0,0,0.110367893,0
515,Turnip,,0,northmen,,,,,House Stark,,0,1,0,1,0,,,,,0,0,,0,0,0,0.016722408,1
516,Edderion Stark,King in the North,1,Northmen,,,,,House Stark,,0,1,0,0,0,,,,,0,1,,0,0,0,0.010033445,1
517,Hayhead,,1,Northmen,,,,,House Stark,,0,1,0,0,0,,,,,0,0,,0,0,0,0.016722408,1
518,Nettles,,0,,113,,,,Blacks,,0,0,0,0,0,,,,,0,0,100,0,0,0,0.063545151,0
519,Benedar Belmore,Strongsong,1,,,,,,House Belmore,,0,0,0,1,1,,,,,0,1,,0,0,0,0.026755853,1
520,Lyonel Corbray,Heart's Home,1,,260,,,,House Corbray,,0,0,0,1,1,,,,,0,1,45,0,0,0,0.080267559,1
521,Wyfryd Manderly,,0,,280,,,,House Manderly,,0,0,0,1,1,,,,,0,0,25,0,0,0,0.056856187,1
522,Gulian Swann,Stonehelm,1,,259,,,,House Swann,,0,1,1,0,0,,,,,0,1,46,0,0,0,0.033444816,1
523,Gyles,Ser,0,,,,,,Kingsguard,,0,0,0,1,0,,,,,0,1,,0,0,0,0.003344482,1
524,Monford Velaryon,Lord of the Tides,1,Valyrian,,,,,House Velaryon,,0,1,1,0,0,,,,,0,1,,0,0,0,0.023411371,0
525,Willam Wythers,Ser,1,,,,,,House Wythers,,0,0,0,1,0,,,,,0,1,,0,0,0,0.010033445,1
526,Glendon Flowers,Ser,1,,196,,,,,,0,0,0,0,0,,,,,0,1,100,0,0,0,0.080267559,0
527,Harmune,Maester,1,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,1,,0,0,0,0.043478261,1
528,Henk,,1,Free Folk,,,,,,,0,0,1,1,0,,,,,0,0,,0,0,0,0.006688963,1
529,Fern,,0,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.006688963,1
530,Lum,,1,westermen,,,,,House Lannister,,0,0,1,1,0,,,,,0,0,,0,0,0,0.013377926,1
531,Bors,,1,,,,,,House Martell,,0,0,0,1,0,,,,,0,0,,0,0,0,0.006688963,1
532,Bryan Frey,,1,,281,,,,House Frey,,0,1,1,1,0,,,,,0,0,24,0,0,0,0.100334448,1
533,Rickard Stark,Winterfell,1,Northmen,230,,,,House Stark,Lyarra Stark,1,1,1,0,1,,,,1,1,1,52,5,1,0,0.27090301,0
534,Alannys Harlaw,Iron Islands,0,Ironborn,,,,,House Greyjoy,Balon Greyjoy,1,1,0,1,1,,,,0,1,1,,0,0,0,0.237458194,1
535,Tytos Lannister,Casterly Rock,1,,220,,,,House Lannister,Jeyne Marbrand,0,0,1,1,1,,,,1,1,1,47,4,1,0,0.210702341,0
536,Emmon Frey,Riverrun,1,,237,,,,House Frey of Riverrun,Gen Lannister,1,1,1,1,1,,,,1,1,1,68,0,0,0,0.230769231,1
537,Halder,,1,,281,,,,Night's Watch,,1,1,1,1,1,,,,,0,0,24,0,0,0,0.060200669,1
538,Anguy,,1,,,,,,Brotherhood without banners,,1,0,1,1,0,,,,,0,0,,0,0,0,0.130434783,1
539,Pate (Night's Watch),,0,,,,,,Night's Watch,,0,0,0,0,0,,,,,0,0,,0,0,0,0.006688963,1
540,Farlen,,1,,,,,,House Stark,,1,1,1,0,1,,,,,0,0,,0,0,0,0.056856187,0
541,Steffon Fossoway,Ser,1,,,,,,House Fossoway of Cider Hall,,0,0,0,0,0,,,,,0,1,,0,0,0,0.040133779,1
542,Hobber Redwyne,Ser,1,Reach,,,,,House Redwyne,,1,1,1,1,1,,,,,0,1,,0,0,0,0.214046823,1
543,Husband,,1,,,,,,,Shar,0,0,1,1,0,,,,1,1,0,,0,0,0,0.043478261,1
544,Haggo,Bloodrider,1,Dothraki,,,,,,,1,0,0,0,0,,,,,0,0,,0,0,0,0.033444816,0
545,Holger,,0,Vale mountain clans,,,,,Stone Crows,,0,1,0,0,0,,,,,0,0,,0,0,0,0.003344482,1
546,Murch,,1,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.010033445,1
547,Mandon Moore,Ser,1,Valemen,,,,,House Moore,,1,1,1,0,0,,,,,0,1,,0,0,0,0.120401338,0
548,Three-Tooth,Ten Towers,0,Ironborn,,,,,House Harlaw,,0,0,0,1,0,,,,,0,1,,0,0,0,0.010033445,1
549,Lucantine Woodwright,Ser,0,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.010033445,1
550,Gerris Drinkwater,Ser,1,Dornish,275,,,,House Drinkwater,,0,0,0,0,1,,,,,0,1,30,0,0,0,0.157190635,1
551,Ironbelly,,1,,,,,,,,0,1,1,0,0,,,,,0,0,,0,0,0,0.010033445,1
552,Harras Harlaw,Ser,1,Ironborn,,,,,House Harlaw of Grey Garden,,0,0,0,1,1,,,,,0,1,,0,0,0,0.107023411,1
553,Torrek,,0,Vale mountain clans,,,,,Stone Crows,,1,0,0,0,0,,,,,0,0,,0,0,0,0,1
554,Vargo Hoat,Lord of Harrenhal,1,Qohor,,,,,Brave Companions,,1,1,1,1,0,,,,,0,1,,0,0,0,0.210702341,0
555,Tomard,,1,northmen,249,,,,House Stark,,1,1,1,0,1,,,,,0,0,49,0,0,0,0.063545151,0
556,Cadwyl,,1,Ironborn,,,,,House Greyjoy,,0,1,1,0,0,,,,,0,0,,0,0,0,0.010033445,1
557,Owen (brother of Meribald),,1,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.013377926,1
558,Arnolf Karstark,Karhold,1,Northmen,,,,,House Karstark,,0,0,0,1,1,,,,,0,1,,0,0,0,0.137123746,1
559,Skahaz mo Kandaq,,0,Ghiscari,,,,,House of Kandaq,,0,0,0,0,1,,,,,0,0,,0,0,0,0.197324415,1
560,Leonella Lefford,,0,,,,,,House Lefford,Lothar Frey,0,1,1,1,0,,,,1,1,0,,0,0,0,0.080267559,1
561,Axell Florent,Ser,1,,,,,,House Florent,,0,1,1,1,1,,,,,0,1,,1,1,0,0.307692308,1
562,Aethan,,0,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0,0,0.010033445,1
563,Elmar Frey,,1,,290,,,,House Frey,,1,1,1,1,1,,,,,0,0,15,0,0,0,0.066889632,1
564,Manfrey Martell,Ser,0,Dornishmen,,,,,House Martell,,0,0,0,1,1,,,,,0,1,,0,0,0,0.023411371,1
565,Karlon Stark,Karl's Hold,1,Northmen,,,,,House Stark,,0,0,1,0,0,,,,,0,1,,0,0,0,0.016722408,1
566,Ermesande Hayford,Hayford,0,,298,,,,House Hayford,Tyrek Lannister,0,1,1,1,1,,,,0,1,1,7,0,0,0,0.113712375,1
567,Melessa Florent,,0,,,,,,House Florent,Randyll Tarly,0,1,1,1,0,,,,1,1,0,,0,0,0,0.086956522,1
568,Jeyne Lydden,,0,,,,,,House Lydden,Stevron Frey,0,1,1,1,0,,,,0,1,0,,0,0,0,0.100334448,1
569,Aegon Targaryen (son of Rhaegar),,1,Valyrian,281,,,,House Targaryen,,0,0,0,0,0,,,,,0,0,2,0,0,0,0,0
570,Jon Bulwer,Blackcrown,1,,,,,,House Bulwer,Victaria Tyrell,0,0,1,1,0,,,,1,1,1,,0,0,0,0.137123746,1
571,Melia,,0,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0,1
572,Gowen Baratheon,,1,,,,,,House Baratheon,Tya Lannister,1,0,0,0,0,,,,1,1,0,,0,0,0,0.016722408,1
573,Alesander Staedmon,Broad Arch,0,,,,,,House Staedmon,,0,1,1,1,0,,,,,0,1,,0,0,0,0.013377926,1
574,Dea Hardyng,,0,,,,,,House Hardyng,Walton Frey,0,1,1,1,0,,,,1,1,0,,0,0,0,0.096989967,1
575,Terrance Lynderly,,0,,,,,,House Lynderly,,0,0,0,1,0,,,,,0,0,,0,0,0,0.016722408,1
576,Clifford Conklyn,Ser,1,,,,,,House Conklyn,,0,0,0,0,0,,,,,0,1,,0,0,0,0.006688963,1
577,Jonnel Stark,Winterfell,1,,,,,,House Stark,Robyn Ryswell,0,1,0,0,0,,,,1,1,1,,0,0,0,0.127090301,1
578,Creighton Redfort,Ser,0,Valemen,,,,,House Redfort,,0,0,0,1,1,,,,,0,1,,0,0,0,0.023411371,1
579,Hobb,,1,,,,,,Night's Watch,,1,1,1,1,1,,,,,0,0,,0,0,0,0.043478261,1
580,Walder Haigh,,0,,294,,,,House Haigh,,0,1,1,1,0,,,,,0,0,11,0,0,0,0.076923077,1
581,Sybassion,,1,Qarth,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.013377926,1
582,Zharaq zo Loraq,,1,Ghiscari,,,,,House of Loraq,,0,0,0,0,1,,,,,0,0,,0,0,0,0.010033445,1
583,Drogo,Khal,0,Dothraki,267,,,,,Daenerys Targaryen,1,1,1,0,1,,,,1,1,0,32,5,1,1,0.558528428,0
584,Hoster Frey,,1,,287,,,,House Frey,,0,1,1,1,0,,,,,0,0,18,0,0,0,0.090301003,1
585,Shiera Seastar,,0,Westeros,178,,,,House Targaryen,,0,0,0,0,1,,,,,0,0,100,4,1,0,0.043478261,0
586,Spotted Cat,,1,Ghiscari,,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.050167224,1
587,Alys Karstark,,0,Northmen,284,,,,House Karstark,Sigorn,0,0,1,1,1,,,,1,1,0,21,0,0,0,0.157190635,1
588,Osney Kettleblack,Ser,1,,,,,,House Kettleblack,,0,1,1,1,1,,,,,0,1,,0,0,0,0.123745819,1
589,Stannis Seaworth,,1,,289,,,,House Seaworth,,0,1,1,1,1,,,,,0,0,16,0,0,0,0.056856187,1
590,Armen,,1,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.030100334,1
591,Andrey Dalt,Ser,0,Dornish,,,,,House Dalt,,0,0,0,1,0,,,,,0,1,,0,0,0,0.036789298,1
592,Pate (Lancewood),,1,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.003344482,1
593,Dykk Harlaw,,1,,,,,,House Harlaw,,0,1,0,0,0,,,,,0,0,,0,0,0,0.010033445,0
594,Hother Umber,Castellan,1,Northmen,241,,,,House Umber,,0,1,1,1,1,,,,,0,1,64,0,0,0,0.143812709,1
595,Merlon Crakehall,Ser,1,,,,,,House Crakehall,,0,0,1,1,0,,,,,0,1,,0,0,0,0.026755853,1
596,Norjen,,0,Ironmen,,,,,Drowned men,,0,0,0,1,0,,,,,0,0,,0,0,0,0.006688963,1
597,Quentyn Ball,Ser,1,,,,,,House Ball,,0,0,0,0,0,,,,,0,1,,0,0,0,0.066889632,0
598,Humfrey Clifton,Ser,1,,,,,,House Clifton,,0,0,0,0,1,,,,,0,1,,0,0,0,0.013377926,1
599,Nymeria,PrincessQueen,0,Rhoyr,,,,,House Martell,Mors Martell,1,1,0,1,1,,,,1,1,1,,0,0,0,0.197324415,1
600,Gerold Hightower,Ser,1,,,,,,House Hightower,,1,1,1,0,0,,,,,0,1,,0,0,1,0.414715719,0
601,Addam Osgrey,,1,,183,,,,House Osgrey,,0,0,0,0,0,,,,,0,0,13,0,0,0,0.036789298,0
602,Nute,Lord of Oakenshield,1,Ironborn,,,,,House Greyjoy,,0,0,0,1,1,,,,,0,1,,0,0,0,0.050167224,1
603,Jacks,,0,northmen,,,,,House Stark,,1,1,1,1,0,,,,,0,0,,0,0,0,0.033444816,1
604,Willow Heddle,,0,,289,,,,Brotherhood Without Banners,,0,0,0,1,0,,,,,0,0,16,0,0,0,0.033444816,1
605,Harsley,,1,,,,,,,,0,0,1,0,1,,,,,0,0,,0,0,0,0.003344482,0
606,Will,,1,,,,,,Night's Watch,,1,1,0,0,0,,,,,0,0,,0,0,0,0.163879599,0
607,Luwin,,1,Westeros,,,,,House Stark,,1,1,1,1,1,,,,,0,0,,0,0,1,0.351170569,0
608,Harlon Greyjoy,,1,Ironborn,,,,,House Greyjoy,,0,0,0,1,0,,,,,0,0,,0,0,0,0.063545151,1
609,Wulfe,,1,Ironborn,,,,,House Greyjoy,,0,0,0,1,1,,,,,0,0,,0,0,0,0.023411371,1
610,Sedgekins,,0,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0,1
611,Donnel Locke,Ser,0,,,,,,House Locke,,0,1,1,1,0,,,,,0,1,,0,0,0,0.036789298,0
612,Harry Sawyer,Ser,0,,,,,,House Sawyer,,0,0,0,1,0,,,,,0,1,,0,0,0,0.016722408,1
613,Sawwood,,1,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0,0,0.010033445,1
614,Denys Mallister,Ser,1,,245,,,,House Mallister,,1,1,1,1,1,,,,,0,1,60,0,0,0,0.130434783,1
615,Gilbert Farring,Ser,1,,,,,,House Farring,,0,0,1,1,1,,,,,0,1,,0,0,0,0.046822742,1
616,Enger,,0,,,,,,House Tully,,0,1,0,0,0,,,,,0,0,,0,0,0,0,1
617,Barthogan Stark,Winterfell,1,Northmen,,,,,House Stark,,0,1,0,0,0,,,,,0,1,,0,0,0,0.127090301,1
618,Rickard Ryswell,,1,Northmen,,,,,House Ryswell,,0,0,0,1,1,,,,,0,0,,0,0,0,0.040133779,1
619,Ghael,Lord,1,Astapori,,,,,,,0,0,1,0,1,,,,,0,1,,0,0,0,0.023411371,1
620,High Sparrow,High Septon,1,,,,,,Faith of the Seven,,0,0,0,1,1,,,,,0,1,,0,0,0,0.16722408,1
621,Margaery Tyrell,Seven Kingdoms,0,Reach,283,,,,House Tyrell,Renly Baratheon,1,1,1,1,1,,,,0,1,1,22,3,1,1,1,1
622,Rhaegar Targaryen,Prince of Dragonstone,1,Valyrian,259,,,,House Targaryen,Elia Martell,1,1,1,1,1,,,,0,1,1,24,11,1,1,0.799331104,0
623,Elya Vypren,,0,,264,,,,House Vypren,Jon Wylde,0,1,1,1,0,,,,1,1,0,41,0,0,0,0.160535117,1
624,Torrhen Stark,,1,Northmen,,,,,,,0,0,0,0,0,,,,,0,0,,0,0,0,0.090301003,1
625,Maron Volmark,Volmark,1,Ironborn,283,,,,House Volmark,,0,0,1,1,1,,,,,0,1,22,0,0,0,0.043478261,1
626,Meg,,0,,,,,,Brotherhood Without Banners,,0,0,0,1,0,,,,,0,0,,0,0,0,0.010033445,1
627,Rennifer Longwaters,Chief Undergaoler,1,,,,,,House Longwaters,,0,0,0,1,1,,,,,0,1,,0,0,0,0.016722408,1
628,Malliard,Wisdom,1,,,,,,Alchemists' Guild,,0,1,0,0,0,,,,,0,1,,0,0,0,0.006688963,1
629,Joseth Mallister,Ser,0,,,,,,House Mallister,,0,0,0,0,0,,,,,0,1,,0,0,0,0.013377926,1
630,Martyn Lannister,,1,,285,,,,House Lannister,,0,1,1,1,1,,,,,0,0,20,5,1,0,0.137123746,1
631,Dae Targaryen,Princess,0,Valyrian,145,,,,House Targaryen,Baelor I Targaryen,0,0,0,0,0,,,,0,1,1,100,7,1,0,0.227424749,0
632,Egon Emeros,,0,Qartheen,,,,,Pureborn,,0,1,0,0,1,,,,,0,0,,0,0,0,0.013377926,1
633,Robin,,1,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.016722408,1
634,Symond Templeton,Ser,0,,,,,,House Templeton,,0,0,0,1,1,,,,,0,1,,0,0,0,0.030100334,1
635,Shyra Errol,Haystack Hall,0,,,,,,House Errol,,0,1,0,0,0,,,,,0,1,,0,0,0,0.013377926,1
636,Harrion Karstark,Karhold,1,Northmen,,,,,House Karstark,,1,1,1,1,1,,,,,0,1,,2,1,0,0.096989967,1
637,Allaquo,,1,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.02006689,1
638,Emberlei Frey,,0,,296,,,,House Frey,,0,1,1,1,0,,,,,0,0,9,0,0,0,0.080267559,1
639,Clarence Crabb,Ser,1,,,,,,House Crabb,,0,0,0,1,0,,,,,0,1,,0,0,0,0.026755853,1
640,Hugor of the Hill,King of the Andals,1,Andals,,,,,,,0,0,0,0,1,,,,,0,1,,0,0,0,0.050167224,1
641,Oswyn,,0,,,,,,Kingswood Brotherhood,,0,0,1,0,0,,,,,0,0,,0,0,0,0.003344482,1
642,Baelor I Targaryen,,1,,,Daeera Velaryon,Aegon III Targaryen,,,,0,0,0,0,0,1,0,,,0,0,,9,1,1,0.501672241,0
643,Jason Mallister,Seagard,1,Riverlands,,,,,House Mallister,,1,1,1,1,1,,,,,0,1,,0,0,0,0.127090301,1
644,Ned (ferryman),,1,,,,,,,,0,0,0,0,0,,,,,0,0,,0,0,0,0.003344482,1
645,Symond Botley,,1,Ironborn,,,,,House Botley,,0,0,0,1,0,,,,,0,0,,0,0,0,0.046822742,1
646,Arron Qorgyle,Ser,1,,,,,,House Qorgyle,,0,0,1,1,0,,,,,0,1,,0,0,0,0.023411371,1
647,Gendel,King-Beyond-the-Wall,1,Free Folk,,,,,,,0,1,1,0,0,,,,,0,1,,0,0,0,0.056856187,1
648,Prendahl  Ghezn,,1,Ghiscari,,,,,Stormcrows,,0,0,1,0,0,,,,,0,0,,0,0,0,0.040133779,0
649,Arianne Martell,Princess,0,Dornishmen,276,,,,House Martell,,1,1,1,1,1,,,,,0,1,29,0,0,1,0.571906355,1
650,Hosteen Frey,Ser,1,,249,,,,House Frey,Belle Hawick,1,1,1,1,1,,,,1,1,1,56,0,0,0,0.274247492,1
651,Jojen Reed,,1,Crannogmen,286,,,,House Reed,,0,1,1,1,1,,,,,0,0,19,0,0,0,0.2909699,1
652,Mushroom,,1,,,,,,House Targaryen,,0,0,0,0,0,,,,,0,0,,0,0,0,0.046822742,1
653,Rolland Storm,Ser,1,,,,,,House Caron,,0,0,1,1,1,,,,,0,1,,0,0,0,0.070234114,1
654,Rohanne Webber,Coldmoat,0,,185,,,,House Webber,Simon Staunton,0,0,0,0,0,,,,1,1,1,100,0,0,0,0.170568562,0
655,Mathos Mallarawan,,0,Qartheen,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.016722408,1
656,Donnel of Duskendale,Ser,1,,,,,,Kingsguard,,0,0,0,1,0,,,,,0,1,,0,0,0,0.036789298,1
